ticker,bank_name,country
hsba.ln,HSBC Holdings,UK
X8306.to,Mitsubishi UFJ Financial Group,Japan
bnp.fr,BNP Paribas,France
jpm,JPMorgan Chase & Co,US
dbk.xe,Deutsche Bank,Germany
barc.ln,Barclays,UK
aca.fr,Credit Agricole,France
bac,Bank of America,US
c,Citigroup,US
X8411.to,Mizuho Financial Group,Japan
gle.fr,Societe Generale,France
rbs.ln,Royal Bank of Scotland Group,UK
X8316.to,Sumitomo Mitsui Financial Group,Japan
san.mc,Banco Santander,Spain
wfc,Wells Fargo,US
inga.ae,ING Groep,Netherland
lloy.ln,Lloyds Banking Group,UK
ucg.mi,Unicredit,Italy
ubsn.vx,UBS,Switzerland
csgn.vx,Credit Suisse Group,Switzerland
gs,Goldman Sachs Group,US
ndasek.sk,Nordea Bank,Sweden
isp.mi,Intesa Sanpaolo,Italy
ms,Morgan Stanley,US
td.t,Toronto-Dominion Bank,Canada
ry.t,Royal Bank of Canada,Canada
bbva.mc,Banco Bilbao Vizcaya Argentaria,Spain
cbk.xe,Commerzbank,Germany
nab.au,National Australia Bank,Australia
bns.t,Bank of Nova Scotia,Canada
cba.au,Commonwealth Bank of Australia,Australia
stan.ln,Standard Chartered,UK
X600036.sh,China Merchants Bank,China
anz.au,Australia and New Zealand Banking Group,Australia
wbc.au,Westpac Banking,Australia
X600000.sh,Shanghai Pudong Development Bank,China
danske.ko,Danske Bank,Denmark
sber.mz,Sberbank Rossii,Russia
X600016.sh,China Minsheng Banking Corp,China
bmo.t,Bank of Montreal,Canada
itub4.br,Itau Unibanco Holding,Brazil
X8308.to,Resona Holdings,Japan
X8604.to,Nomura Holdings,Japan
X8309.to,Sumitomo Mitsui Trust Holdings,Japan
sbin.in,State Bank of India,India
dnb.os,DNB ASA,Norway
shba.sk,Svenska Handelsbanken,Sweden
seba.sk,Skandinaviska Enskilda Banken,Sweden
cm.t,Canadian Bank of Commerce,Canada
bk.us,Bank of New York Mellon,US
usb,U.S. Bancorp,US
bbdc4.br,Banco Bradesco,Brazil
kbc.bt,KBC Groupe,Belgium
pnc.us,PNC Financial Services Group,US
d05.sg,DBS Group Holdings,Singapore
X000001.sz,Ping An Bank,China
X053000.se,Woori Finance Holdings,Korea
dexb.bt,Dexia,Belgium
cof,Capital One Financial,US
X055550.se,Shinhan Financial Group,Korea
sweda.sk,Swedbank,Sweden
X600015.sh,Hua Xia Bank,China
ebs.vi,Erste Group Bank,Austria
bmps.mi,Banca Monte dei Paschi di Siena,Italy
stt.us,State Street Corporation,US
sab.mc,Banco de Sabadell,Spain
u11.sg,United Overseas Bank,Singapore
pop.mc,Banco Popular Espanol,Spain
X024110.se,Industrial Bank of Korea,Korea
bbt,BB&T Corp,US
bir.db,Bank of Ireland,Ireland
na.t,National Bank of Canada,Canada
sti.us,SunTrust Banks,US
bp.mi,Banco Popolare,Italy
maybank.ku,Malayan Banking Berhad,Malaysia
aib.db,Allied Irish Banks,Ireland
sbk.jo,Standard Bank Group,South Africa
axp,American Express,US
ete.at,National Bank of Greece,Greece
mqg.au,Macquarie Group,Australia
X8354.to,Fukuoka Financial Group,Japan
X8332.to,Bank Of Yokohama,Japan
poh1s.he,Pohjola Bank,Finland
fitb.us,Fifth Third Bancorp,US
rf.us,Regions Financial,US
X8331.to,Chiba Bank,Japan
uni.mi,Unipol Gruppo Finanziario,Italy
bcp.lb,Banco Comercial Portugues,Portugal
cimb.ku,CIMB Group Holdings,Malaysia
bankbaroda.in,Bank of Baroda,India
isctr.is,Turkiye Is Bankasi,Turkey
bes.lb,Banco Espirito Santo,Portugal
X8377.to,Hokuhoku Financial Group,Japan
X8355.to,Shizuoka Bank,Japan
mb.mi,Mediobanca Banca di Credito Finanziario,Italy
X8418.to,Yamaguchi Financial Group,Japan
